Wine_ID,bottlePrice,Grape_Cultivar,Brown_Color_avg,Orange_Color_avg,Red_Color_avg,Green_Color_avg,Yellow_Color_avg,Pink_Color_avg,Muscadine_Fruity_Aroma_avg,Red_Fruit_Aroma_avg,Apple_Pear_Aroma_avg,Bubblegum_Aroma_avg,Chemical_Aroma_avg,Jammy_Aroma_avg,Floral_Aroma_avg,Herbaceous_Aroma_avg,Green_Grassy_Aroma_avg,Petroleum_Aroma_avg,Spice_Aroma_avg,Stone_Fruits_Aroma_avg,Wood_Aroma_avg,Earthy_Aroma_avg,Sulfidic_Aroma_avg,Sulfite_Aroma_avg,Acetic_Aroma_avg,Oxidized_Aroma_avg,Foxy_Aroma_avg,Citrus_Aroma_avg,Honey_Aroma_avg,Stone_Fruit_Aroma_avg,Tropical_Aroma_avg,Muscadine_Taste_avg,Red_Fruit_Taste_avg,Sweet_Taste_avg,Bitter_Taste_avg,Sour_Taste_avg,Astringent_Taste_avg,Dry_Taste_avg,Oxidized_Taste_avg,Herbaceous_Taste_avg,Green_Grassy_Taste_avg,Jammy_Taste_avg,Crisp_Taste_avg,Honey_Taste_avg,Color_Liking_avg,Aroma_Liking_avg,Taste_Liking_avg,Overall_Quality_Liking_avg,Color_Intensity_avg,Muscadine_Aroma_Intensity_avg,Muscadine_Flavor_Intensity_avg,Sweetness_Intensity_avg,Bitterness_Intensity_avg,Astringency_Intensity_avg,Sourness_Intensity_avg,colorId,ABV,closureType,winePackaging,winepH,wineTA,wineAbs420,wineAbs520,wineAbs620,colorIntensity,tintHue,red%,yellow%,blue%
I1,16.75,Noble,0.055555556,0.388888889,0.944444444,0,0,0,0.611111111,0.333333333,0.277777778,0.388888889,0.666666667,0.333333333,0.333333333,0.111111111,0.055555556,0.388888889,0.222222222,0.055555556,0.166666667,0.055555556,0,0.166666667,0.055555556,0.055555556,0,0,0,0,0,0.666666667,0.388888889,0.777777778,0.611111111,0.388888889,0.666666667,0.333333333,0.055555556,0.166666667,0,0.555555556,0,0,5.944444444,4.444444444,4.388888889,4.444444444,59.11111111,36.55555556,40.11111111,46.55555556,34.27777778,33.38888889,27.83333333,3,11.5,pressed,tinted,3.565,2.846,1.803,1.745,0.215,3.763,1.033237822,46.37257507,47.91389849,5.713526442
J1,16,Noble,0.222222222,1,0.111111111,0,0,0,0.722222222,0.111111111,0.111111111,0.055555556,0.611111111,0.111111111,0,0.055555556,0,0.5,0.111111111,0.222222222,0,0.222222222,0.333333333,0.333333333,0.166666667,0.444444444,0.333333333,0,0,0,0,0.833333333,0.333333333,0.888888889,0.277777778,0.388888889,0.555555556,0.222222222,0.277777778,0.055555556,0,0.277777778,0,0,3.277777778,4.111111111,4.833333333,4.111111111,25.72222222,43.22222222,45.44444444,55.33333333,24.77777778,35.05555556,27.44444444,3,13,pressed,tinted,3.655,2.8495,0.672666667,0.443666667,0.064,1.180333333,1.516153268,37.58825191,56.98955097,5.422197119
D3,14,Noble,0.055555556,0.722222222,0.777777778,0,0,0,0.833333333,0.388888889,0.166666667,0.333333333,0.333333333,0.333333333,0.166666667,0,0.055555556,0.5,0.111111111,0.055555556,0.166666667,0.111111111,0.111111111,0.277777778,0.166666667,0.277777778,0.388888889,0,0,0,0,0.888888889,0.444444444,0.944444444,0.388888889,0.555555556,0.333333333,0.444444444,0.222222222,0,0,0.333333333,0,0,4.666666667,5,4.888888889,4.777777778,42,49.22222222,54.38888889,56.94444444,22.88888889,27.94444444,30.38888889,3,12,screwtop,tinted,3.63,2.8085,1.285333333,1.911666667,0.301666667,3.498666667,0.367378049,54.6398628,36.73780488,8.622332317
D4,14,Noble,0.166666667,0.722222222,0.722222222,0,0,0,0.888888889,0.388888889,0.111111111,0.222222222,0.277777778,0.444444444,0.055555556,0,0,0.611111111,0.055555556,0.277777778,0.166666667,0.166666667,0.111111111,0.277777778,0.111111111,0.166666667,0.277777778,0,0,0,0,0.777777778,0.611111111,0.888888889,0.333333333,0.611111111,0.722222222,0.388888889,0.166666667,0,0.055555556,0.5,0,0,4.666666667,5.166666667,5.277777778,4.944444444,44.66666667,47.16666667,53.22222222,45.16666667,27.16666667,31.72222222,33.88888889,3,12,screwtop,tinted,3.59,2.8685,0.895,0.799666667,0.134333333,1.829,0.489338436,43.7215236,48.93384363,7.344632768
K1,12.99,Noble,0.111111111,0,1,0,0,0,0.888888889,0.777777778,0.166666667,0.222222222,0.166666667,0.555555556,0.277777778,0.055555556,0,0.111111111,0.111111111,0.277777778,0.166666667,0.055555556,0.055555556,0,0.111111111,0,0.055555556,0,0,0,0,0.888888889,0.722222222,0.777777778,0.277777778,0.722222222,0.388888889,0.444444444,0.055555556,0,0,0.5,0,0,8.388888889,7.055555556,6.555555556,6.722222222,81.44444444,55.33333333,57.5,50.5,15.72222222,19.38888889,28.33333333,3,11,synthetic,tinted,3.545,2.882,2.327666667,2.728666667,0.47,5.526333333,0.853041779,49.37571627,42.11954883,8.504734906
C2,23,Carlos,0.384615385,0,0,0.230769231,1,0,0.846153846,0.153846154,0.153846154,0.230769231,0.384615385,0.153846154,0.076923077,0.384615385,0.076923077,0.538461538,0,0,0.076923077,0.153846154,0.307692308,0.538461538,0.230769231,0.153846154,0.769230769,0.153846154,0.230769231,0.230769231,0,0.461538462,0,0,0.846153846,0.923076923,0.692307692,0.692307692,0.153846154,0,0,0,0.307692308,0,6.307692308,5,3.076923077,3.769230769,34.92307692,47.23076923,25.53846154,12.53846154,39.84615385,37.46153846,55.46153846,1,12.5,pressed,clear,3.39,0.962,0.241333333,0.038666667,0.006333333,0.286333333,0.842840512,13.50407451,84.28405122,2.211874272
C3,23,Carlos,0.230769231,0,0,0.307692308,1,0,0.923076923,0.076923077,0.230769231,0.230769231,0.384615385,0.153846154,0.230769231,0.153846154,0.076923077,0.461538462,0,0,0.076923077,0.307692308,0.230769231,0.384615385,0.384615385,0.153846154,0.384615385,0.076923077,0.076923077,0.230769231,0.153846154,0.923076923,0.076923077,1,0.461538462,0.769230769,0.538461538,0.538461538,0.153846154,0,0,0,0.230769231,0.230769231,5.769230769,4.307692308,5.307692308,5.384615385,44,53,49.84615385,54.46153846,22.92307692,36.84615385,45.38461538,1,12.5,pressed,clear,3.42,0.9185,0.328,0.043,0.008,0.379,0.865435356,11.34564644,86.54353562,2.110817942
H2,12.99,Carlos,0.153846154,0,0,0.307692308,1,0,0.846153846,0.153846154,0.230769231,0.153846154,0.538461538,0.230769231,0.230769231,0.230769231,0,0.384615385,0,0,0.076923077,0.307692308,0.307692308,0.538461538,0.384615385,0.307692308,0.230769231,0,0.153846154,0,0.307692308,0.692307692,0.076923077,0.076923077,0.692307692,0.846153846,0.692307692,0.692307692,0.384615385,0,0,0,0,0,6.384615385,4.923076923,3.846153846,4.153846154,41.46153846,46.23076923,34.53846154,14.84615385,41.38461538,41,49.07692308,1,13,screwtop,clear,3.645,2.915,0.166333333,0.033,0.006333333,0.205666667,0.808752026,16.04538088,80.87520259,3.079416532
B2,9.7,Noble_Carlos,0,0,0,0.461538462,1,0.076923077,0.846153846,0.076923077,0.384615385,0.230769231,0.307692308,0.153846154,0.307692308,0,0.076923077,0.307692308,0,0,0,0.076923077,0.153846154,0.307692308,0.076923077,0,0.461538462,0.153846154,0.076923077,0.384615385,0.230769231,0.846153846,0.153846154,1,0.461538462,0.461538462,0.461538462,0.153846154,0.076923077,0,0,0,0.461538462,0.307692308,5.461538462,6.461538462,5.846153846,5.615384615,16,51,42.15384615,54.23076923,19,24.53846154,27.53846154,2,11,synthetic,clear,3.57,0.699,0.253333333,0.123,0.023,0.399333333,2.059620596,30.80133556,63.43906511,5.759599332
B3,9.7,Carlos,0.692307692,0,0,0,0.307692308,1,0.846153846,0.384615385,0.230769231,0.384615385,0.230769231,0.384615385,0.153846154,0.076923077,0,0.307692308,0,0,0.076923077,0.384615385,0.307692308,0.461538462,0.153846154,0.076923077,0.615384615,0,0.076923077,0.153846154,0.230769231,0.769230769,0.307692308,0.769230769,0.461538462,0.461538462,0.615384615,0.307692308,0.384615385,0,0,0,0.384615385,0.076923077,5.923076923,5.461538462,5,5.153846154,48.84615385,57.69230769,47.30769231,52.38461538,18.15384615,25.15384615,30.92307692,1,11,synthetic,clear,3.575,0.694,0.074333333,0.011,0.001,0.086333333,0.861003861,12.74131274,86.1003861,1.158301158
D5,14,Carlos,0.230769231,0,0,0.307692308,1,0,0.923076923,0.153846154,0.384615385,0.384615385,0.307692308,0.076923077,0.307692308,0.153846154,0.076923077,0.384615385,0,0,0.153846154,0.076923077,0.230769231,0.461538462,0,0.153846154,0.769230769,0.153846154,0.153846154,0.153846154,0.076923077,0.538461538,0,0.076923077,0.769230769,0.846153846,0.769230769,0.692307692,0.307692308,0,0,0,0.153846154,0.153846154,6.230769231,5.692307692,3.384615385,4.307692308,42.84615385,61.61538462,32,14.38461538,35.84615385,39.61538462,53.92307692,1,12,screwtop,tinted,3.625,2.7565,0.251666667,0.046,0.013,0.310666667,0.810085837,14.80686695,81.00858369,4.184549356
D6,14,Carlos,0,0,0,0.461538462,1,0,0.846153846,0.076923077,0.307692308,0.076923077,0.153846154,0.153846154,0.153846154,0.076923077,0.076923077,0.538461538,0,0,0,0.153846154,0.230769231,0.384615385,0.076923077,0,0.461538462,0.153846154,0.153846154,0.230769231,0,0.923076923,0,0.923076923,0.384615385,0.538461538,0.384615385,0.384615385,0,0,0,0,0.692307692,0.076923077,5.307692308,6.307692308,6.307692308,6.307692308,20.30769231,53.15384615,49.07692308,54.07692308,21,28.69230769,37.46153846,1,12,screwtop,clear,3.605,2.849,0.086,0.012,0.001666667,0.099666667,0.862876254,12.04013378,86.28762542,1.672240803
D7,14,Carlos,0.384615385,0,0,0.307692308,1,0,0.923076923,0.153846154,0.230769231,0.384615385,0.230769231,0.230769231,0.230769231,0.076923077,0.076923077,0.153846154,0,0,0.230769231,0.076923077,0.153846154,0.384615385,0.076923077,0.076923077,0.461538462,0.076923077,0.384615385,0.153846154,0.153846154,0.923076923,0.307692308,1,0.307692308,0.615384615,0.230769231,0.153846154,0,0,0,0,0.461538462,0.384615385,5.384615385,6,6.384615385,6.384615385,40.61538462,60.23076923,47.46153846,66.23076923,16.76923077,17.15384615,25.92307692,1,12,screwtop,tinted,3.69,2.853,0.233,0.042333333,0.010666667,0.286,0.814685315,14.8018648,81.46853147,3.72960373
D8,14,Noble_Carlos,0.153846154,0,0,0,0,1,0.923076923,0.846153846,0,0.769230769,0.153846154,0.769230769,0.307692308,0.076923077,0.076923077,0.076923077,0,0,0.230769231,0.076923077,0.076923077,0.153846154,0,0,0.230769231,0.076923077,0.230769231,0.384615385,0.307692308,0.923076923,0.846153846,1,0.153846154,0.461538462,0.384615385,0.307692308,0,0,0,0,0.384615385,0.384615385,7.769230769,7.769230769,7.307692308,7.384615385,75.92307692,56.07692308,59.69230769,69.76923077,15.69230769,26.30769231,26.69230769,2,12,screwtop,clear,3.61,2.7515,0.903666667,1.172666667,0.182333333,2.258666667,0.7706083,51.91853601,40.00885478,8.072609209
D9,14,Carlos,0.230769231,0,0,0.384615385,1,0,0.923076923,0.076923077,0.384615385,0.230769231,0.230769231,0.153846154,0.461538462,0.153846154,0.230769231,0.461538462,0,0,0.153846154,0.461538462,0.153846154,0.615384615,0,0.153846154,0.461538462,0,0.076923077,0.230769231,0,0.769230769,0,0.307692308,0.846153846,0.769230769,0.538461538,0.538461538,0.307692308,0,0,0,0.230769231,0,5.923076923,5.923076923,4.153846154,4.846153846,36.76923077,53.38461538,40.15384615,23.92307692,37.15384615,37.38461538,48,1,12,screwtop,tinted,3.64,2.705,0.227,0.041,0.012,0.28,0.810714286,14.64285714,81.07142857,4.285714286
E3,11.99,Carlos,0.076923077,0,0,0.538461538,1,0,0.923076923,0,0.384615385,0.307692308,0.307692308,0.076923077,0.230769231,0,0.153846154,0.384615385,0,0,0.076923077,0.153846154,0.230769231,0.461538462,0.384615385,0.153846154,0.538461538,0,0.230769231,0.230769231,0.153846154,1,0.076923077,0.846153846,0.461538462,0.692307692,0.461538462,0.461538462,0.230769231,0,0,0,0.230769231,0.076923077,5.769230769,4.615384615,5.461538462,5.230769231,22.07692308,55.30769231,49.84615385,49,25.61538462,32.38461538,39.30769231,1,12,screwtop,tinted,3.545,2.825,0.095,0.015666667,0.003333333,0.114,0.833333333,13.74269006,83.33333333,2.923976608
E4,8.99,Carlos,0,0,0,0.230769231,1,0,0.846153846,0.153846154,0.307692308,0.230769231,0.307692308,0.384615385,0.384615385,0.076923077,0.076923077,0.307692308,0,0,0,0.230769231,0,0.153846154,0,0.153846154,0.384615385,0,0.307692308,0.230769231,0.076923077,1,0.153846154,0.846153846,0.538461538,0.461538462,0.538461538,0.230769231,0.153846154,0,0,0,0.384615385,0.307692308,6.461538462,5.538461538,6,6,30.84615385,55.07692308,53.38461538,56.07692308,23,27.07692308,35.53846154,1,12,screwtop,clear,3.595,2.816,0.083666667,0.012666667,0.002666667,0.099,0.845117845,12.79461279,84.51178451,2.693602694
E5,8.99,Noble_Carlos,0.615384615,0,0,0,0.384615385,1,0.846153846,0.307692308,0.076923077,0.384615385,0.461538462,0.230769231,0.153846154,0.076923077,0.076923077,0.153846154,0,0,0.076923077,0.230769231,0.076923077,0.384615385,0.230769231,0.153846154,0.538461538,0.076923077,0,0.153846154,0.230769231,0.846153846,0.307692308,0.846153846,0.615384615,0.615384615,0.538461538,0.384615385,0.153846154,0,0,0,0.307692308,0.153846154,6,5.153846154,4.923076923,5.153846154,47,50.84615385,50.30769231,60.53846154,30,27.38461538,33,2,12,screwtop,clear,3.685,2.732,0.215666667,0.105,0.027333333,0.348,2.053968254,30.17241379,61.97318008,7.85440613
E6,8.99,Carlos,0.076923077,0,0,0.384615385,0.923076923,0,0.923076923,0.230769231,0.230769231,0.384615385,0.307692308,0.076923077,0.230769231,0.076923077,0.076923077,0.307692308,0,0,0.076923077,0.153846154,0.307692308,0.384615385,0,0.153846154,0.384615385,0.076923077,0.230769231,0.307692308,0.076923077,0.846153846,0.076923077,0.538461538,0.692307692,0.846153846,0.615384615,0.692307692,0.307692308,0,0,0,0.384615385,0.230769231,6,6.153846154,4.846153846,5.230769231,33.30769231,56.69230769,44.53846154,40.53846154,37.15384615,42.23076923,49.46153846,1,12,screwtop,tinted,3.645,2.632,0.121666667,0.027,0.006,0.154666667,0.786637931,17.45689655,78.6637931,3.879310345
J2,16,Noble_Carlos,0.769230769,0,0,0,0.615384615,0.615384615,0.769230769,0.230769231,0.076923077,0.076923077,0.230769231,0.307692308,0.076923077,0.153846154,0.153846154,0.538461538,0,0,0,0.384615385,0.307692308,0.384615385,0.384615385,0.384615385,0.461538462,0,0.230769231,0.153846154,0,0.769230769,0.307692308,1,0.153846154,0.384615385,0.153846154,0.153846154,0.307692308,0,0,0,0.307692308,0.461538462,5.076923077,4.230769231,5.615384615,5.230769231,58.07692308,38.23076923,46.38461538,70.15384615,16.53846154,21.84615385,27.76923077,2,13,pressed,tinted,3.615,0.721,0.444333333,0.227333333,0.027333333,0.699,1.954545455,32.52265141,63.56700048,3.910348116
